run_accession	study_accession	sample_accession	fastq_ftp
ERR1688264	PRJEB16057	SAMEA4506960	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/004/ERR1688264/ERR1688264.fastq.gz
ERR1688265	PRJEB16057	SAMEA4506961	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/005/ERR1688265/ERR1688265.fastq.gz
ERR1688269	PRJEB16057	SAMEA4506965	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/009/ERR1688269/ERR1688269.fastq.gz
ERR1688270	PRJEB16057	SAMEA4506966	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/000/ERR1688270/ERR1688270.fastq.gz
ERR1688274	PRJEB16057	SAMEA4506970	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/004/ERR1688274/ERR1688274.fastq.gz
ERR1688280	PRJEB16057	SAMEA4506976	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/000/ERR1688280/ERR1688280.fastq.gz
ERR1688281	PRJEB16057	SAMEA4506977	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/001/ERR1688281/ERR1688281.fastq.gz
ERR1688283	PRJEB16057	SAMEA4506979	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/003/ERR1688283/ERR1688283.fastq.gz
ERR1688285	PRJEB16057	SAMEA4506981	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/005/ERR1688285/ERR1688285.fastq.gz
ERR1688286	PRJEB16057	SAMEA4506982	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/006/ERR1688286/ERR1688286.fastq.gz
ERR1688288	PRJEB16057	SAMEA4506984	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/008/ERR1688288/ERR1688288.fastq.gz
ERR1688290	PRJEB16057	SAMEA4506986	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/000/ERR1688290/ERR1688290.fastq.gz
ERR1688291	PRJEB16057	SAMEA4506987	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/001/ERR1688291/ERR1688291.fastq.gz
ERR1688297	PRJEB16057	SAMEA4506993	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/007/ERR1688297/ERR1688297.fastq.gz
ERR1688298	PRJEB16057	SAMEA4506994	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/008/ERR1688298/ERR1688298.fastq.gz
ERR1688302	PRJEB16057	SAMEA4506998	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/002/ERR1688302/ERR1688302.fastq.gz
