run_accession	study_accession	sample_accession	tax_id	scientific_name	library_name	library_layout	library_strategy	library_selection	submitted_ftp	sra_ftp
ERR1688192	PRJEB16057	SAMEA4506967	408170	human gut metagenome	10564.GETLNC9Z	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688192/10564.GETLNC9Z.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/002/ERR1688192
ERR1688193	PRJEB16057	SAMEA4506968	408170	human gut metagenome	10564.GXRXGLH3	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688193/10564.GXRXGLH3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/003/ERR1688193
ERR1688194	PRJEB16057	SAMEA4506969	408170	human gut metagenome	10564.H6TOS3QE	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688194/10564.H6TOS3QE.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/004/ERR1688194
ERR1688198	PRJEB16057	SAMEA4506973	408170	human gut metagenome	10564.KZL25H0F	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688198/10564.KZL25H0F.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/008/ERR1688198
ERR1688199	PRJEB16057	SAMEA4506974	408170	human gut metagenome	10564.LE2JYPJ8	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688199/10564.LE2JYPJ8.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/009/ERR1688199
ERR1688200	PRJEB16057	SAMEA4506975	408170	human gut metagenome	10564.M276ODRH	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688200/10564.M276ODRH.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/000/ERR1688200
ERR1688207	PRJEB16057	SAMEA4506982	408170	human gut metagenome	10564.NYYC95BI	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688207/10564.NYYC95BI.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/007/ERR1688207
ERR1688208	PRJEB16057	SAMEA4506983	408170	human gut metagenome	10564.O9G6DQH2	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688208/10564.O9G6DQH2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/008/ERR1688208
ERR1688215	PRJEB16057	SAMEA4506990	408170	human gut metagenome	10564.QG6Q3VMK	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688215/10564.QG6Q3VMK.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/005/ERR1688215
ERR1688224	PRJEB16057	SAMEA4506999	408170	human gut metagenome	10564.V40XA5EG	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688224/10564.V40XA5EG.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/004/ERR1688224
ERR1688226	PRJEB16057	SAMEA4507001	408170	human gut metagenome	10564.XI5CNBC5	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688226/10564.XI5CNBC5.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/006/ERR1688226
ERR1688228	PRJEB16057	SAMEA4507003	408170	human gut metagenome	10564.Y3XCJJPE	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688228/10564.Y3XCJJPE.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/008/ERR1688228
ERR1688229	PRJEB16057	SAMEA4507004	408170	human gut metagenome	10564.YZL1C941	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688229/10564.YZL1C941.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/009/ERR1688229
ERR1688230	PRJEB16057	SAMEA4507005	408170	human gut metagenome	10564.ZHH6RGI7	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688230/10564.ZHH6RGI7.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/000/ERR1688230
ERR1688232	PRJEB16057	SAMEA4506928	408170	human gut metagenome	10564.0WRD31TT	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688232/10564.0WRD31TT.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/002/ERR1688232
ERR1688237	PRJEB16057	SAMEA4506933	408170	human gut metagenome	10564.3BU9LU2P	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688237/10564.3BU9LU2P.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/007/ERR1688237
ERR1688238	PRJEB16057	SAMEA4506934	408170	human gut metagenome	10564.3XAL3UBS	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688238/10564.3XAL3UBS.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/008/ERR1688238
ERR1688254	PRJEB16057	SAMEA4506950	408170	human gut metagenome	10564.AY5F93TI	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688254/10564.AY5F93TI.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/004/ERR1688254
